 0.0 0.0 0
 0.00850281 0.0762171 0
 0.0297116 0.154569 0
 0.0557322 0.219345 0
 0.130204 0.352262 0
 0.210664 0.462324 0
 0.420381 0.688037 0
 0.670384 0.90563 0
 0.961282 1.12418 0
 1.35323 1.38459 0
 1.77515 1.63668 0
 2.31216 1.92784 0
 2.8402 2.18843 0
 3.67693 2.55064 0
 5.32652 3.15234 0
 6.91055 3.66854 0
 8.46277 4.116 0
 10.0169 4.51146 0
 11.6068 4.87169 0
 13.266 5.21342 0
 15.365 5.59198 0
 17.6696 5.9375 0
 20.1249 6.24103 0
 22.6757 6.4936 0
 25.2669 6.68627 0
 27.8437 6.81008 0
 29.1094 6.84337 0
 30.3508 6.85608 0
 33.3149 6.83493 0
 36.1267 6.76568 0
 38.8069 6.655 0
 40.8982 6.53938 0
 42.9275 6.40444 0
 45.556 6.20057 0
 47.271 6.05323 0
 50.6462 5.74231 0
 53.5582 5.45619 0
 56.8085 5.11774 0
 62.6629 4.47685 0
 68.9421 3.76091 0
 76.6548 2.85505 0
 81.6461 2.25727 0
 90.5789 1.16949 0
 100 0.0 0
 99.996 -0.000934378 0
 97.2941 -0.086286 0
 79.3632 -0.636666 0
 56.0372 -1.3127 0
 44.051 -1.63464 0
 35.6336 -1.84344 0
 28.1147 -2.00959 0
 24.0246 -2.1116 0
 19.9068 -2.2124 0
 17.5901 -2.24538 0
 15.2982 -2.24689 0
 13.5636 -2.21966 0
 11.8561 -2.16219 0
 9.42798 -2.04582 0
 7.51118 -1.93331 0
 6.12785 -1.83164 0
 5.02239 -1.72895 0
 4.08512 -1.6181 0
 3.29295 -1.50157 0
 2.34353 -1.31087 0
 1.88025 -1.18825 0
 1.4423 -1.05005 0
 1.04643 -0.900114 0
 0.697794 -0.738319 0
 0.475468 -0.611069 0
 0.290208 -0.478826 0
 0.207951 -0.406289 0
 0.138329 -0.33262 0
 0.0820519 -0.257924 0
 0.0356292 -0.17292 0
 0.0193815 -0.130026 0
 0.00794364 -0.0868964 0
 0.00144127 -0.0435481 0
 0.0 0.0 0.0
